선행Feature,후속Feature,관계유형,설명,계산순서,상호작용강도,급증예측영향
"target_mean, target_std, target_max, target_min, target_last_value, target_last_5_mean, target_slope",target_acceleration,계산의존,target_acceleration은 최근5분평균과 그전5분평균을 비교하므로 기본통계 이후 계산,2,강,최상
"target_last_value, target_last_5_mean",target_is_rising,계산의존,현재값과 5분전값을 비교하므로 기본통계 이후 계산,2,강,상
"target_last_value, target_last_5_mean",target_rapid_rise,계산의존,5분간 변화량을 계산하므로 기본통계 이후 계산,2,강,최상
target_acceleration,surge_imminent,조건결합,surge_imminent는 target_acceleration > 0.2 조건 포함,3,최강,최상
target_last_value,surge_imminent,조건결합,surge_imminent는 seq_target[-1] > 272 조건 포함,3,최강,최상
hub_high,surge_imminent,조건결합,surge_imminent는 hub_high == 1 조건 포함,3,최강,최상
HUBROOMTOTAL_last_value,"hub_critical, hub_high, hub_warning",임계값판정,HUB 여유공간 현재값으로 위험도 레벨 판정,2,강,최상
"HUBROOMTOTAL_mean, HUBROOMTOTAL_slope",hub_decrease_rate,추세분석,HUB 감소 속도 계산,2,중,상
"CD_M163FSTORAGEUSE_last_value, CD_M163FSTORAGETOTAL_last_value",storage_remaining,계산의존,남은 저장공간 = 총량 - 사용량,2,강,상
CD_M163FSTORAGEUTIL_last_value,"storage_util_high, storage_util_critical",임계값판정,FS 사용률로 경고/위험 레벨 판정,2,강,최상
"hub_high, storage_util_high",hub_storage_risk,복합조건,HUB 병목 + FS 부족 동시 발생 시 위험,3,최강,최상
"M16A_3F_CMD_last_value, M16A_6F_TO_HUB_CMD_last_value",total_cmd,합산,전체 CMD = 각 CMD 컬럼 합계,2,강,최상
total_cmd,"total_cmd_low, total_cmd_very_low",임계값판정,total_cmd로 부족 레벨 판정,3,강,최상
"hub_high, total_cmd_low",hub_cmd_bottleneck,복합조건,HUB 병목 + CMD 부족 동시 발생 → 이중 병목,4,최강,최상
"M16A_6F_TO_HUB_JOB_last_value, M16A_2F_TO_HUB_JOB2_last_value, M14A_3F_TO_HUB_JOB2_last_value",net_flow (inflow_sum),합산,유입 합계 계산,2,강,최상
"M16A_3F_TO_M16A_6F_JOB_last_value, M16A_3F_TO_M16A_2F_JOB_last_value, M16A_3F_TO_M14A_3F_JOB_last_value",net_flow (outflow_sum),합산,유출 합계 계산,2,강,최상
"inflow_sum, outflow_sum",net_flow,차감,순 유입량 = 유입 - 유출,3,최강,최상
"hub_high, storage_util_critical, total_cmd_low, storage_util_high",surge_risk_score,가중합산,모든 위험 요소를 가중치로 합산하여 통합 점수 계산,4,최강,최상
M16A_3F_STORAGE_UTIL_last_value,"storage_util_critical, storage_util_high_risk",임계값판정,M16A_3F 스토리지 사용률로 위험도 판정,2,강,상